City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
190,Bathsheba,BB,81.21,13.2167,-59.5167,
191,Beloha,MG,61.63,-25.1667,45.05,
193,Kuryk,KZ,77.36,43.2,51.65,
196,Mount Isa,AU,82.17,-20.7333,139.5,
197,Los Banos,PH,89.8,14.1667,121.1833,
199,Nambucca Heads,AU,69.01,-30.65,153.0,
200,Roswell,US,78.69,34.0232,-84.3616,
201,Bati,ET,69.89,11.1833,40.0167,
203,Namibe,AO,67.55,-15.1961,12.1522,
204,Salalah,OM,80.01,17.0151,54.0924,
205,Tezu,IN,78.57,27.9167,96.1667,
207,Krasnoselkup,RU,68.85,65.7,82.4667,
208,Kaeo,NZ,64.33,-35.1,173.7833,
209,Naze,JP,81.52,28.3667,129.4833,
210,Lodwar,KE,80.15,3.1191,35.5973,
211,Saint-Pierre,RE,66.56,-21.3393,55.4781,
212,Wilmington,US,74.86,34.2257,-77.9447,
213,Wageningen,NL,61.11,51.9667,5.6667,
215,Muros,ES,72.1,42.7762,-9.0603,
216,Mocuba,MZ,60.98,-16.8392,36.9856,
217,Sao Gabriel Da Cachoeira,BR,71.1,-0.1303,-67.0892,
218,Pingzhuang,CN,80.17,42.0372,119.2889,
219,Ende,ID,83.68,-8.8432,121.6623,
221,Puerto Del Rosario,ES,69.55,28.5004,-13.8627,
222,Aswan,EG,79.16,24.0934,32.907,
224,Lata,PT,68.04,40.1629,-8.3327,
225,Pisco,PE,64.45,-13.7,-76.2167,
226,Tigil,RU,63.79,57.8,158.6667,
227,Kindu,CD,68.92,-2.95,25.95,
228,Arinos,BR,66.74,-15.9169,-46.1056,
231,Abnub,EG,75.42,27.2696,31.1511,
232,Hambantota,LK,79.14,6.1241,81.1185,
234,Jiuquan,CN,63.23,39.7432,98.5174,
235,Bumba,CD,70.36,2.1833,22.4667,
236,Manzil Salim,TN,73.4,35.8567,8.4765,
237,Kui Buri,TH,88.99,12.0828,99.8543,
238,Santa Barbara De Nexe,PT,64.54,37.1062,-7.9665,
240,Ponta Do Sol,PT,70.43,32.6667,-17.1,
241,San Vicente De Canete,PE,65.35,-13.0751,-76.3835,
242,Manacapuru,BR,77.58,-3.2997,-60.6206,
243,Nara,JP,72.77,34.6851,135.8049,
245,Thompson,CA,73.56,55.7435,-97.8558,
247,Tual,ID,81.07,-5.6667,132.75,
248,Panama City,PA,80.55,8.9936,-79.5197,
249,Terney,RU,61.56,45.0503,136.6092,
251,Vanavara,RU,64.94,60.34,102.2797,
254,Vanimo,PG,84.33,-2.6741,141.3028,
255,Awbari,LY,77.68,26.5921,12.7805,
256,Isangel,VU,82.51,-19.55,169.2667,
257,Jibuti,DJ,84.31,11.5,42.5,
258,Kargasok,RU,69.17,59.0556,80.8572,
259,Thinadhoo,MV,83.32,0.5333,72.9333,
260,Metro,ID,82.22,-5.1131,105.3067,
261,Fukue,JP,70.16,32.6881,128.8419,
262,Tamalin,MX,75.36,21.35,-97.8,
263,Ayni,TJ,63.05,39.3941,68.5377,
266,Pasighat,IN,80.87,28.0667,95.3333,
267,Port Antonio,JM,84.11,18.18,-76.4612,
271,Kilakarai,IN,84.31,9.2333,78.7833,
272,Ugoofaaru,MV,82.78,5.6667,73.0,
274,Sakakah,SA,78.37,29.9697,40.2064,
275,Barabai,ID,87.01,-2.5833,115.3833,
276,Mago,RU,80.8,53.2514,140.1822,
277,Souillac,MU,70.36,-20.5167,57.5167,
278,Acapulco,MX,80.62,16.8634,-99.8901,
279,Petatlan,MX,77.27,17.5167,-101.2667,
280,Lingao,CN,88.79,19.9103,109.6859,
281,Sola,VU,81.23,-13.8833,167.55,
284,Ribeira Grande,PT,68.9,38.5167,-28.7,
285,Zhangye,CN,60.78,38.9342,100.4517,
287,Niagara Falls,CA,66.09,43.1001,-79.0663,
290,Karratha,AU,70.41,-20.7377,116.8463,
291,Yaan,NG,73.67,7.3833,8.5667,
292,Hirado,JP,72.75,33.3597,129.5531,
294,Lazaro Cardenas,MX,81.45,17.9583,-102.2,
295,Savannah Bight,HN,82.99,16.45,-85.85,
296,Coahuayana,MX,81.05,18.7333,-103.6833,
297,Balikpapan,ID,83.39,-1.2675,116.8289,
298,Bandarbeyla,SO,78.62,9.4942,50.8122,
300,Coruripe,BR,74.12,-10.1256,-36.1756,
304,Port Macquarie,AU,68.9,-31.4333,152.9167,
305,Portland,US,70.38,45.5234,-122.6762,
306,Agadez,NE,82.24,19.75,10.25,
307,Aparecida,BR,63.1,-22.8469,-45.2297,
308,Anqing,CN,88.61,30.5092,117.0506,
309,Hobyo,SO,77.36,5.3505,48.5268,
310,San Francisco Del Mar,MX,79.75,16.2333,-94.65,
